parametro;region;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitacion;SANTA CRUZ DE TENERIFE;12.25;15.96;27.23;25.83;1.05;5.39;1.96;0.28;5.95;29.40;19.88;25.13;170.31
Precipitacion;SEGOVIA;33.96;2.94;7.70;48.65;7.35;6.16;13.02;14.14;23.03;39.13;80.19;53.90;330.05
Precipitacion;SEVILLA;28.49;1.68;15.82;51.10;0.00;0.00;0.00;1.61;11.06;14.91;46.83;76.09;247.59
Precipitacion;SORIA;33.18;6.51;8.19;72.58;18.76;14.21;33.25;18.69;31.71;32.13;75.68;51.66;395.71
Precipitacion;TARRAGONA;6.16;1.45;1.96;21.77;27.30;3.78;12.67;22.13;30.03;82.25;17.64;46.69;273.05
Precipitacion;TERUEL;12.32;3.64;15.47;57.89;16.10;3.92;27.16;20.65;35.35;28.91;28.00;34.23;283.64
Precipitacion;TOLEDO;11.27;2.19;8.47;59.50;2.03;0.07;4.56;6.23;28.77;21.98;38.43;60.13;243.60
Precipitacion;VALENCIA;1.12;0.70;25.00;102.06;13.37;0.56;3.21;18.06;85.96;22.12;11.55;63.14;351.12
Precipitacion;VALLADOLID;18.20;3.36;9.87;32.41;3.36;11.34;17.08;11.88;19.95;41.16;46.20;49.42;264.11
Precipitacion;ZAMORA;22.33;11.06;18.83;50.12;5.88;26.33;21.49;14.14;12.95;51.66;64.33;92.61;391.72
Precipitacion;ZARAGOZA;17.85;5.46;8.37;39.27;33.46;10.57;23.03;23.96;12.74;24.36;42.28;25.76;266.07
